NCFR,Duration,DFL,AFL3,AFL1,Gross,NVU,CTFL,FIP,NUFR,Budget,TY,AFL2,IS,AR,MFL
162,91,420,173,268,140080850,121084,1125,2,221,1.40E+08,2007,268,6.2,2.35,0
367,158,776,310,1000,166112167,283418,2144,0,1055,2.00E+08,2009,468,5.8,2.35,13000
240,96,0,10000,18000,137850096,72809,48878,0,249,2.00E+08,2009,14000,6.8,2.35,0
384,127,0,13000,17000,47375327,139593,47334,1,720,1.76E+08,2015,15000,5.4,2.35,44000
248,110,282,103,11000,124051759,42372,21175,2,239,1.80E+08,2016,10000,6.6,2.35,29000
284,150,80,82,1000,291709845,286506,1317,5,1463,1.80E+08,2005,190,6.9,2.35,0
396,144,0,1000,34000,154985087,148379,49684,6,622,1.78E+08,2016,13000,7.3,2.35,54000
645,152,22000,11000,23000,533316061,1676169,57802,0,4667,1.85E+08,2008,13000,9,2.35,37000
408,96,0,262,1000,292979556,665575,2635,1,704,1.75E+08,2009,848,8.3,1.85,27000
219,94,11,459,1000,198332128,114553,2579,2,187,1.75E+08,2009,973,6.5,2.35,0
486,126,4000,4000,21000,318298180,696338,39252,3,1055,1.40E+08,2008,12000,7.9,2.35,10000
682,126,17000,1000,17000,73820094,245333,36017,0,678,1.70E+08,2011,16000,7.5,1.85,42000
85,106,188,582,10000,113745408,129601,15870,2,648,1.70E+08,1999,4000,4.8,1.85,0
264,112,357,595,5000,102176165,117927,9131,2,501,1.45E+08,2008,3000,5.2,2.35,0
418,123,452,329,10000,161087183,118992,11287,8,971,1.75E+08,2016,336,6.9,2.35,80000
186,96,293,7000,87000,100289690,115099,108016,0,257,1.75E+08,2007,11000,5.4,2.35,2000
585,113,218,509,10000,100189501,431620,12652,1,741,1.78E+08,2014,854,7.9,2.35,77000
91,176,58,60,711,88246220,144337,1004,0,309,1.75E+08,1995,60,6.1,1.85,0
250,118,208,570,23000,150167630,174578,26683,4,534,1.75E+08,2009,2000,5.8,2.35,0
536,95,0,384,1000,356454367,345198,2944,1,773,1.75E+08,2015,767,8.3,1.85,118000
370,106,4000,591,19000,362645141,106072,32921,0,398,1.75E+08,2016,13000,7.8,1.85,65000
453,124,4000,4000,21000,312057433,522371,48638,4,723,2.00E+08,2010,19000,7,2.35,18000
416,132,274,11000,26000,155111815,228554,72881,0,710,1.70E+08,2012,17000,6.1,2.35,53000
401,97,171,846,11000,241407328,252257,15516,2,634,1.80E+08,2014,2000,7,2.35,89000
521,130,198,884,10000,208543795,317542,14363,0,620,1.70E+08,2014,2000,7.6,1.85,45000
218,128,47,982,18000,38297305,116994,20965,2,324,1.75E+08,2013,1000,6.3,2.35,35000
576,136,94,2000,19000,259746958,496749,36188,1,742,1.70E+08,2014,11000,7.8,2.35,55000
226,93,31,213,4000,238371987,138661,4628,2,173,1.65E+08,2010,225,6.4,2.35,0
443,130,663,604,2000,93417865,128306,5046,2,497,1.90E+08,2015,638,6.5,2.2,37000
384,102,38,562,756,222487711,279093,2963,0,433,1.65E+08,2014,719,7.9,2.39,41000
377,101,66,833,975,189412677,272534,4451,1,345,1.65E+08,2012,931,7.8,2.35,40000
188,100,0,267,15000,665426,120798,16264,0,444,1.65E+08,2004,726,6.6,2.35,10000
286,120,776,535,890,102315545,58137,3233,0,520,1.65E+08,2016,812,5.5,2.35,67000
288,98,255,759,18000,217387997,485430,20453,0,492,1.65E+08,2010,953,8.2,2.35,33000
280,109,84,191,648,150350192,305340,1769,0,1676,2.00E+08,2003,284,6.4,2.35,0
653,121,571,3000,14000,333130696,682155,32438,3,1097,1.70E+08,2014,14000,8.1,2.35,96000
712,169,22000,6000,11000,187991439,928227,31488,1,2725,1.65E+08,2014,11000,8.6,2.35,349000
642,148,22000,23000,29000,292568851,1468200,81115,0,2803,1.60E+08,2010,27000,8.8,2.35,175000
187,106,357,4000,23000,144512310,272223,45327,2,988,3.80E+07,2001,14000,6.7,2.35,14000
362,166,21000,919,11000,127490802,459346,13333,2,822,1.50E+08,2008,1000,7.8,2.35,23000
500,132,905,1000,34000,146405371,518537,50983,3,698,1.60E+08,2011,13000,7.8,2.35,54000
389,137,508,14000,34000,281666058,166137,81385,1,383,1.60E+08,2015,22000,6.6,2.35,38000
235,109,226,370,12000,63143812,124185,13388,0,238,1.50E+08,2010,418,6.1,2.35,11000
231,98,249,702,87000,60655503,82380,92456,0,629,1.60E+08,2006,2000,5.6,2.35,0
218,113,33,11000,40000,76846624,21352,80806,1,131,1.70E+08,2016,25000,6.4,1.85,30000
227,93,50,692,3000,320706665,211971,4705,2,326,1.60E+08,2007,795,6.1,1.85,0
275,123,0,648,3000,46978995,111609,5505,0,781,1.60E+08,2016,716,7.3,2.35,89000
474,126,230,2000,24000,89732035,188457,38873,2,867,1.55E+08,2015,10000,6.6,2.35,82000
228,113,150,59,531,104383624,106446,764,4,227,1.55E+08,2010,82,6.3,1.78,11000
191,184,0,691,3000,198539855,254111,5401,0,1999,1.40E+08,2001,961,6.1,2.35,0
396,144,0,581,662,318759914,513158,2333,0,1782,1.50E+08,2007,599,7.1,2.35,8000
248,206,0,591,12000,34293771,138863,24598,3,1390,1.55E+08,2004,11000,5.5,2.35,0
329,138,282,687,21000,292000866,355137,33433,3,1108,1.50E+08,2007,11000,7.5,2.35,0
295,157,179,10000,21000,289994397,385670,53413,1,1896,1.50E+08,2005,11000,7.6,2.35,0
318,102,532,979,10000,227946274,343648,21584,0,590,1.50E+08,2008,9000,6.4,2.35,0
323,104,508,558,10000,256386216,530870,13076,0,1413,1.50E+08,2007,1000,7.2,2.35,11000
276,115,13000,588,40000,206456431,320284,57844,3,1361,1.50E+08,2005,16000,6.7,1.85,0
318,111,663,954,1000,206435493,473887,4764,0,626,1.50E+08,2007,1000,8,2.35,10000
478,128,22000,11000,23000,205343774,980946,59558,0,2685,1.50E+08,2005,14000,8.3,2.35,15000
167,89,35,436,1000,179982968,146019,3285,0,119,1.50E+08,2008,851,6.7,1.85,0
185,105,189,1000,49000,177243721,130272,54039,2,209,1.50E+08,2009,3000,5.9,2.35,2000
350,119,151,2000,20000,179883016,361924,40054,0,641,1.50E+08,2009,16000,6.7,2.35,0
245,129,0,233,309,139259759,364948,1062,0,2121,1.50E+08,2003,269,6.7,2.35,0
406,102,69,490,1000,400736600,421658,2582,0,904,1.50E+08,2013,523,7.6,2.24,58000
275,138,0,30,234,281492479,421818,534,0,2789,1.50E+08,2003,198,7.2,2.35,0
486,112,230,12000,26000,206360018,414070,59803,3,532,1.70E+08,2013,20000,7.1,2.35,63000
739,120,750,943,27000,153629485,552503,40025,0,1588,1.50E+08,2015,9000,8.1,2.35,191000
298,146,2000,294,15000,133375846,207839,16948,2,435,1.50E+08,2009,745,6.7,2.35,0
516,115,0,12000,26000,181015141,536314,60059,1,738,1.50E+08,2011,20000,7,2.35,63000
225,96,59,699,17000,114053579,146766,20007,0,178,1.50E+08,2008,759,6.9,1.85,0
145,88,12,182,730,119420252,33042,2217,0,90,1.50E+08,2009,607,5.1,2.35,0
310,99,473,502,14000,83640426,152826,16184,0,253,1.50E+08,2012,897,5.8,1.85,19000
526,113,13000,16000,40000,79711678,199039,80849,7,479,1.00E+08,2012,17000,6.2,1.85,82000
465,131,188,641,10000,195000874,232187,21840,0,440,1.50E+08,2015,10000,7.4,2.35,47000
357,119,394,162,12000,61937495,89442,13071,0,432,1.50E+08,2010,490,5.8,1.85,0
194,91,58,826,2000,126597121,105902,6576,0,206,1.50E+08,2007,852,6.2,1.85,0
284,90,90,15,11000,165230261,182718,21015,0,209,1.50E+08,2011,10000,7.3,2.35,20000
280,103,0,346,1000,131564731,118951,2857,0,1382,1.50E+08,2010,756,4.2,2.35,18000
310,124,14000,979,22000,133382309,256695,34817,0,871,1.50E+08,2006,10000,6.9,2.35,0
339,131,776,256,17000,73103784,164238,18204,2,434,1.50E+08,2013,551,6.4,2.35,33000
132,88,25,433,921,21379315,17590,2652,0,112,1.50E+08,2011,562,5.4,2.35,0
135,85,42,586,20000,64459316,85086,35161,0,122,1.49E+08,2006,14000,6.7,1.85,0
256,111,456,394,20000,34964818,39956,21393,4,186,1.50E+08,2015,548,5.8,2.35,24000
196,92,50,517,3000,111505642,47900,5810,2,130,1.45E+08,2014,1000,6.9,1.85,11000
220,196,249,844,11000,133228348,381672,17944,2,1694,1.75E+08,2004,5000,7.2,2.35,0
211,93,35,436,851,216366733,119213,2444,0,154,1.45E+08,2012,770,6.9,1.85,17000
264,133,93,746,769,160201106,169914,2538,0,1185,1.42E+08,2002,766,6.1,2.35,0
464,116,176,322,783,118099659,69757,2097,4,1211,1.44E+08,2016,370,5.5,2.35,62000
167,153,0,537,13000,201573391,322395,26029,0,1171,1.40E+08,1998,12000,6.6,2.35,11000
208,88,188,826,10000,190418803,270207,14823,2,606,1.40E+08,2002,3000,6.1,1.85,2000
287,115,0,964,18000,82161969,142440,31523,1,505,1.50E+08,2007,12000,6.3,2.35,3000
210,95,5,967,24000,143523463,64322,36095,0,145,1.45E+08,2016,11000,7.2,2.35,24000
432,133,663,690,10000,209364921,365104,21768,3,512,1.45E+08,2011,10000,7.4,2.35,35000
256,97,52,161,20000,103400692,123553,20645,0,174,1.45E+08,2012,315,7.3,1.85,25000
135,90,23,233,957,110332737,110788,1997,1,258,1.00E+08,2005,550,6.1,2.35,2000
190,154,380,445,10000,111110575,317166,11945,1,928,1.40E+08,2003,956,7.7,2.35,0
314,150,0,748,23000,65007045,128682,26490,0,657,1.40E+08,2014,893,6.1,2.35,51000
518,127,14000,981,26000,257704099,504419,39284,0,1559,1.50E+08,2009,12000,8,2.35,19000
291,121,0,4000,24000,403706375,544665,40484,0,2012,1.39E+08,2002,11000,7.3,1.85,5000
292,102,255,953,18000,176997107,221128,23378,5,343,1.45E+08,2014,3000,7.9,2.35,46000
184,126,295,284,18000,31141074,51892,19769,4,273,1.40E+08,2016,934,5.5,2.35,24000
145,121,357,653,820,31704416,45455,2705,0,388,1.35E+08,2005,780,5,2.35,0
451,215,0,413,986,107503316,392474,2530,1,1229,1.30E+08,2009,745,7.7,2.35,18000
141,127,503,91,5000,129734803,127497,6171,2,287,1.40E+08,1998,808,6.6,2.35,0
267,138,0,258,820,132122995,212106,1814,0,1445,1.37E+08,2003,300,5.7,1.85,0
351,122,209,934,17000,122512052,146352,31958,6,288,1.30E+08,2013,12000,5.8,2.35,42000
163,124,42,848,11000,68642452,77673,13073,3,463,1.30E+08,2005,973,6,2.35,0
166,106,6,422,12000,32131830,72259,15015,1,788,1.37E+08,2001,2000,6.4,1.85,0
510,124,394,2000,11000,176636816,508818,19761,0,679,1.40E+08,2011,3000,6.9,2.35,46000
197,128,150,244,766,126930660,157519,2037,2,683,1.35E+08,1999,536,6.4,2.35,2000
244,138,608,168,613,93926386,168207,1205,1,684,1.50E+08,2003,172,7.4,2.35,0
322,115,386,12000,21000,292298923,185394,59177,3,329,1.20E+08,2012,17000,5.5,2.35,65000
156,100,750,988,49000,63992328,32399,62644,0,79,1.35E+08,2011,11000,5.9,2.35,0
354,135,255,882,3000,134518390,326286,5811,0,643,1.50E+08,2008,1000,6.8,2.35,0
252,117,14000,358,535,52792307,12572,1950,0,106,1.40E+08,2016,400,6.8,2.35,27000
556,156,0,733,29000,183635922,406020,57108,0,1188,1.35E+08,2015,27000,8.1,2.35,190000
166,96,13,463,16000,83024900,62424,17416,0,90,1.35E+08,2013,881,6.5,2.35,13000
362,107,563,939,40000,123207194,183208,43291,0,337,1.35E+08,2011,1000,7.2,2.35,26000
153,92,35,179,19000,83348920,60230,19963,0,118,1.32E+08,2014,411,6.7,1.85,11000
329,115,521,883,13000,227137090,491077,17369,0,820,1.10E+08,2007,897,8.1,2.35,0
266,92,54,562,11000,215395021,307029,12754,0,360,1.30E+08,2008,967,7.6,2.35,6000
517,117,235,680,2000,180191634,313866,5730,6,549,1.30E+08,2015,2000,7.4,1.85,61000
502,146,508,523,34000,424645577,498397,49355,1,706,1.30E+08,2013,14000,7.6,2.35,82000
165,94,12,183,17000,177343675,70121,17883,0,214,1.35E+08,2015,523,6.7,1.85,26000
401,116,14000,807,10000,234277056,334345,12758,0,2741,1.32E+08,2005,1000,6.5,1.85,0
94,147,0,877,10000,138396624,178126,12954,1,511,1.30E+08,2003,898,6.6,2.35,0
246,90,50,397,4000,149234747,114287,5046,0,137,1.30E+08,2011,442,6.7,2.35,16000
330,101,176,282,11000,118311368,245621,12406,1,514,1.10E+08,2010,702,6.4,2.35,23000
434,138,0,8000,12000,101160529,200022,32355,2,1240,1.25E+08,2014,9000,5.8,1.85,71000
440,107,14000,845,2000,77564037,177383,4631,1,447,1.35E+08,2011,871,7.4,2.35,44000
274,142,0,10000,11000,249358727,382255,33284,3,1504,1.30E+08,2004,10000,7.8,2.35,11000
245,165,1000,165,309,49551662,102338,921,0,450,1.30E+08,2008,284,6.6,2.35,0
349,100,0,894,10000,60522097,158720,14168,0,744,1.30E+08,2013,943,4.9,2.35,37000
145,82,0,388,1000,137748063,38438,2945,1,241,127500000,2000,558,6.5,1.85,0
154,98,189,1000,49000,113733726,67223,53587,7,126,1.27E+08,2014,3000,6.2,1.85,11000
233,95,96,8000,24000,148337537,172754,46120,3,187,1.30E+08,2010,11000,7.3,2.35,13000
258,159,0,645,11000,317557891,444683,13191,4,1571,1.25E+08,2001,687,7.5,2.35,16000
208,96,124,1000,16000,33592415,91640,31549,2,210,1.30E+08,2013,12000,5.6,2.35,20000
271,143,563,1000,40000,305388685,809474,48184,3,2113,1.40E+08,2003,5000,8.1,2.35,10000
403,123,508,14000,34000,337103873,305008,81385,1,591,1.25E+08,2014,22000,6.7,2.35,52000
294,174,2000,362,15000,217536138,314253,16008,2,1966,1.25E+08,2006,574,6.6,2.35,0
159,101,107,56,688,131536019,58498,1031,0,99,1.03E+08,2014,237,6.4,2.35,0
289,134,0,346,20000,214948780,405973,20952,4,1055,1.10E+08,2003,505,7.5,2.35,0
342,132,681,12000,23000,209805005,284792,55345,3,366,1.25E+08,2011,14000,7.3,2.35,54000
382,129,0,154,21000,186830669,338635,22403,2,412,1.25E+08,2011,979,7.5,2.35,39000
344,106,255,850,14000,163192114,229679,18003,0,637,1.25E+08,2010,1000,5.8,2.35,15000
196,113,719,217,605,119412921,240241,1441,0,391,6.50E+07,1990,308,7.5,1.85,0
85,102,323,241,845,32694788,101411,1815,1,546,8.50E+07,1999,372,6.6,2.35,0
436,135,209,602,10000,113165635,229823,12175,0,504,1.25E+08,2012,826,6.7,2.35,31000
183,125,541,409,920,107285004,189855,2699,3,1018,1.25E+08,1997,890,3.7,1.85,0
175,110,2000,636,1000,260031035,141414,4146,0,482,1.23E+08,2000,722,6,1.85,0
239,124,776,812,15000,186739919,333248,20553,0,1159,1.25E+08,2004,2000,6.4,2.35,19000
237,123,610,653,10000,215397307,242188,11930,0,1426,1.25E+08,2000,794,6.1,2.35,0
231,130,249,461,784,182618434,133076,2684,0,779,1.40E+08,2000,638,6.4,2.35,0
262,92,167,702,11000,131920333,213275,15302,3,436,1.30E+08,2007,2000,5.6,2.35,0
552,127,0,341,774,124976634,440084,2121,0,755,1.20E+08,2012,358,8,1.85,122000
276,123,160,402,12000,115802596,182661,14017,1,681,1.10E+08,2007,701,5.2,2.35,0
267,123,521,265,13000,108521835,40123,13752,0,297,1.20E+08,2016,365,7.1,2.35,31000
102,107,368,1000,2000,100685880,100821,4046,0,554,1.20E+08,2003,1000,4.8,2.35,0
775,124,0,641,13000,126464904,456260,24098,0,2326,1.30E+08,2012,9000,7,2.35,97000
71,77,50,537,886,64736114,36471,2682,0,69,1.20E+08,2002,799,5.4,1.85,459
476,109,662,1000,13000,93050117,338087,17689,0,814,1.15E+08,2013,2000,6.6,2.35,61000
207,134,123,567,14000,57637485,183909,17159,0,666,1.05E+08,2004,850,6.7,2.35,0
492,117,294,1000,10000,58607007,182899,14161,0,630,1.00E+08,2014,2000,6.2,2.35,60000
284,135,0,87,690,43929341,57873,902,0,414,1.20E+08,2008,107,6.1,2.35,0
168,121,274,157,273,30212620,35066,993,4,196,1.20E+08,2010,216,5.3,1.85,0
283,117,446,877,10000,76418654,148280,12731,0,348,1.17E+08,2010,973,6.3,2.35,11000
539,124,364,1000,11000,89021735,387436,22004,0,892,1.20E+08,2013,10000,7,2.35,71000
359,140,0,4000,20000,380262555,520104,44042,4,3286,1.13E+08,2005,16000,7.6,2.35,10000
284,142,0,4000,20000,310675583,464310,42990,3,3516,1.15E+08,2002,16000,6.7,1.78,0
250,92,0,773,12000,289907418,585659,15013,0,593,1.15E+08,2001,1000,8.1,1.85,0
440,138,446,929,20000,132550960,328067,23755,1,533,1.20E+08,2013,992,6.7,2.35,68000
320,136,0,1000,20000,474544677,534658,37723,1,3597,1.15E+08,1999,14000,6.5,2.35,13000
257,98,16,12000,16000,187165546,150618,43286,3,195,1.35E+08,2013,15000,7.3,2.35,28000
152,153,610,617,12000,40911830,55994,15046,0,454,1.15E+08,2002,836,6,2.35,0
231,120,19,9000,26000,47952020,37750,46719,2,134,1.15E+08,2016,11000,6.1,2.35,16000
348,101,473,429,833,190871240,167085,2690,0,491,1.25E+08,2014,809,5.9,2.35,62000
738,91,0,13,39,274084951,582917,87,0,1885,1.00E+08,2013,23,7.8,2.35,147000
93,108,79,268,650,67155742,62271,1569,1,277,1.16E+08,1997,293,5.8,2.35,0
369,100,128,78,596,56114221,110486,1261,3,695,1.20E+08,2015,360,4.3,2.35,41000
179,108,189,1000,49000,250863268,234480,55486,2,444,1.10E+08,2006,3000,6.4,1.85,3000
358,114,62,884,12000,155181732,147497,16718,0,499,1.10E+08,2015,2000,6.1,2.35,52000
160,119,55,387,811,125332007,149680,2958,3,328,1.10E+08,1997,766,6.5,2.35,0
192,142,776,1000,13000,113330342,207613,19454,1,1144,1.10E+08,2000,2000,7.1,2.35,4000
198,125,0,350,11000,125531634,284852,19359,0,627,1.10E+08,2004,8000,6.4,2.35,0
233,126,218,322,11000,186336103,348861,22722,2,798,1.20E+08,2005,11000,6.5,2.35,0
263,119,124,1000,14000,129995817,154621,22622,0,258,1.10E+08,2015,5000,6.3,2.35,27000
267,170,17000,827,29000,102608827,264318,34582,0,799,1.10E+08,2004,3000,7.5,2.35,0
184,85,11,116,480,42776259,53160,1173,1,121,1.12E+08,2010,392,4.9,2.35,0
447,119,1000,741,11000,98780042,136019,13391,0,443,1.20E+08,2011,1000,5.8,2.35,14000
366,102,263,1000,6000,106369117,225273,10583,0,523,1.10E+08,2014,1000,6.2,2.35,71000
172,103,67,111,383,142614158,66593,692,3,153,1.10E+08,2011,113,5.5,1.78,31000
104,76,6,421,12000,50026353,13581,13607,0,88,1.10E+08,2004,513,5.4,1.78,304
181,120,124,943,6000,66002193,44296,12452,3,144,1.10E+08,2016,5000,5.8,2.35,12000
327,127,189,544,20000,85463309,254841,22254,1,426,1.10E+08,2011,929,7.1,2.35,36000
125,105,67,40,681,71017784,27257,914,3,59,1.05E+08,2013,71,5.4,1.85,0
79,121,101,202,673,48068396,60573,2027,0,248,1.60E+08,1997,368,3.7,2.35,894
326,114,151,430,11000,61656849,184561,12908,4,554,1.10E+08,2013,635,6.7,2.35,123000
354,129,235,297,13000,134520804,336235,13961,1,782,1.10E+08,2007,300,7.2,2.35,0
297,171,0,857,16000,313837577,1238746,22342,2,5060,9.30E+07,2001,5000,8.8,2.35,21000
188,120,153,447,1000,24004159,68720,3175,0,191,1.10E+08,2004,1000,5.8,2.35,0
174,165,0,780,10000,58183966,79186,14196,1,386,1.07E+08,2001,851,6.8,2.35,0
109,82,34,434,760,100446895,36033,2762,1,456,1.09E+08,2003,743,3.8,1.85,946
225,115,295,466,10000,144795350,387632,12068,1,789,1.20E+08,2004,981,7.1,2.35,0
239,194,0,195,14000,47396698,217373,19600,1,942,1.30E+08,2005,5000,7.2,2.35,0
101,84,50,692,979,140015224,94172,3382,0,179,1.33E+08,1999,886,5.9,1.85,0
228,97,63,525,852,104374107,89351,2480,0,214,1.05E+08,2009,578,7.1,1.85,5000
568,151,0,372,13000,228430993,472488,14831,1,1023,1.08E+08,2015,801,8.1,2.35,153000
257,136,0,3000,19000,35799026,263329,34839,1,899,1.26E+08,2005,12000,6.9,2.35,0
62,104,23,591,752,6712451,4102,3133,0,89,9.00E+07,2001,631,4.4,1.85,53
175,127,57,3000,12000,101643008,218341,29069,1,498,9.00E+07,2000,11000,6.5,2.35,0
265,171,0,695,3000,187670866,982637,6521,0,2368,1.03E+08,2000,933,8.5,2.35,21000
252,145,14000,533,10000,132014112,399651,12546,0,1331,1.02E+08,2002,798,7.7,2.35,0
232,174,0,9000,11000,261970615,387616,35672,1,858,1.00E+08,2002,10000,7.4,2.35,0
400,144,258,834,6000,167007184,470483,9125,1,2301,1.50E+08,2006,1000,8,2.35,0
230,119,13000,567,1000,180011740,177725,2776,0,1368,1.00E+08,2001,658,5.7,2.35,0
210,153,0,539,780,204843350,744891,2829,0,983,1.02E+08,1991,604,8.5,2.35,13000
357,140,0,1000,40000,97030725,230931,64599,1,585,1.00E+08,2009,23000,7,2.35,0
300,176,0,561,18000,130127620,324671,20354,0,458,1.00E+08,2007,782,7.8,1.85,0
94,141,0,618,2000,146282411,190439,4528,0,351,1.15E+08,1994,1000,7.2,2.35,0
267,106,12000,385,18000,65452312,149998,19906,1,285,1.00E+08,2009,464,6.4,2.35,0
180,98,80,708,22000,148383780,85531,24082,10,152,1.00E+08,2010,713,5.5,1.85,0
265,116,285,107,12000,119219978,189806,20233,2,316,1.00E+08,2010,8000,6.7,2.35,16000
81,115,55,383,1000,101228120,84424,3454,1,131,1.00E+08,1996,773,6.1,2.35,0
765,165,16000,265,29000,162804648,955174,40978,1,1193,1.00E+08,2012,11000,8.5,2.35,199000
80,91,21,542,2000,100117603,102933,4842,0,230,1.00E+08,1996,700,6.9,1.78,0
141,78,10,253,558,89296573,128285,2039,1,297,1.00E+08,2000,452,7.3,1.66,0
383,103,165,13000,26000,85017401,246803,57881,3,474,9.20E+07,2012,13000,6.7,2.35,108000
193,131,226,341,12000,173005002,255447,13679,0,692,1.00E+08,2004,625,6.9,2.35,0
